NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
NE17048,KR17013,04/05/2021,06:00,07:00,NERUS
NE17048,KR13032,04/05/2021,17:00,18:00,NERUS
NE17048,KR15011,04/05/2021,17:00,18:00,NERUS
NE17048,KR17002,04/05/2021,17:00,17:30,NERUS
NE17048,KC14018,04/05/2021,05:00,05:30,NERUS
NE17048,KT17069,04/05/2021,05:00,06:00,NERUS
NE17048,KT17074,04/05/2021,05:00,05:30,NERUS
NE17048,KT18012,04/05/2021,05:00,05:30,NERUS
NE17048,KT19005,04/05/2021,05:00,05:30,NERUS
NE17048,KB12142,04/05/2021,16:30,18:00,NERUS
NE17048,KC19004,04/05/2021,16:30,18:00,NERUS
NE17048,KD19016,04/05/2021,16:30,18:0,NERUS
NE17048,KR17014,04/05/2021,16:30,18:0,NERUS
NE17048,KR18005,04/05/2021,16:30,18:0,NERUS
NE17048,KT13082,04/05/2021,16:30,18:00,NERUS
NE17048,KT13084,04/05/2021,16:30,18:0,NERUS
NE17048,KT13096,04/05/2021,16:30,18:00,NERUS
NE17048,KT13111,04/05/2021,16:30,18:0,NERUS
NE17048,KT13131,04/05/2021,16:30,18:00,NERUS
NE17048,KT16082,04/05/2021,16:30,18:0,NERUS
NE17048,KT16092,04/05/2021,16:30,18:0,NERUS
NE17048,KT17034,04/05/2021,16:30,18:0,NERUS
NE17048,KT17041,04/05/2021,16:30,18:0,NERUS
NE17048,KT17061,04/05/2021,16:30,18:0,NERUS
NE17048,KT17071,04/05/2021,16:30,18:00,NERUS
NE17048,KT17106,04/05/2021,16:30,18:0,NERUS
NE17048,kt18054,04/05/2021,16:30,18:0,NERUS
NE17048,KT18058,04/05/2021,16:30,18:00,NERUS
NE17048,KT18060,04/05/2021,16:30,18:0,NERUS
NE17048,KT18065,04/05/2021,16:30,18:0,NERUS
NE17048,KT18067,04/05/2021,16:30,18:0,NERUS
NE17048,KT19004,04/05/2021,16:30,18:00,NERUS
