NRP,TANGGAL,SHIFT,IN,OUT,ROSTER_CODE,KODE_ABSEN
KA08004,03/06/2019,1,05:00,16:27,102,-
KA08004,04/06/2019,1,06:20,16:30,102,-
KA08004,07/06/2019,1,06:50,17:00,101,-
6104219,03/06/2019,1,07:00,16:30,102,-
6104219,04/06/2019,1,07:00,16:30,102,-
6104219,07/06/2019,1,07:00,17:30,101,-
KB12050,03/06/2019,1,06:00,16:29,102,-
KB12050,07/06/2019,1,07:12,17:30,101,-
KB13267,03/06/2019,1,06:00,16:27,102,-
KB13267,04/06/2019,1,07:04,17:30,101,-
KB15001,03/06/2019,1,06:00,16:26,102,-
KB15001,04/06/2019,1,06:00,15:06,102,-
KB15001,07/06/2019,1,17:00,15:20,101,-
KB17017,03/06/2019,1,06:00,17:00,102,-
KB17017,04/06/2019,1,06:00,16:30,102,-
KB17017,05/06/2019,1,10:21,17:00,102,L
KB17017,07/06/2019,1,06:47,17:30,101,-
KB11061,03/06/2019,1,06:00,16:25,102,-
KB11061,04/06/2019,1,06:48,16:30,102,-
KB11061,07/06/2019,1,08:00,17:30,101,-
KE17010,03/06/2019,1,06:00,16:30,102,-
KB11149,,,,,408,E
KB13012,06/06/2019,1,06:10,19:05,408,L
KB15003,04/06/2019,1,05:00,16:30,507,-
KB15003,07/06/2019,1,06:00,17:50,302,-
KB17020,03/06/2019,1,05:00,16:56,507,-
KB17020,04/06/2019,1,05:00,17:05,507,-
KB17105,06/06/2019,1,05:50,17:58,408,L
KC16008,03/06/2019,1,06:00,16:55,102,-
KC16008,04/06/2019,1,06:00,16:30,102,-
KC17049,01/06/2019,,,,408,E
KR15042,03/06/2019,1,06:00,16:10,102,-
KR15042,04/06/2019,1,06:00,16:30,102,-
KR18001,03/06/2019,1,06:00,16:11,102,-
KR18001,04/06/2019,1,06:00,16:30,102,-
KD10012,07/06/2019,1,06:06,18:00,302,-
