NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17173,RM17003,28/12/2019,16:00,18:00,NERUS
TM17173,RM17003,29/12/2019,16:00,18:00,NERUS
TM17173,RM17003,30/12/2019,16:00,18:00,NERUS
TM17173,RM17003,31/12/2019,16:00,18:00,NERUS
TM17173,RM17015,02/12/2019,04:00,06:00,NERUS
TM17173,RM17015,03/12/2019,04:00,06:00,NERUS
TM17173,RM17015,04/12/2019,04:00,06:00,NERUS
TM17173,RM17015,05/12/2019,04:00,06:00,NERUS
TM17173,RM17015,06/12/2019,04:00,06:00,NERUS
TM17173,RM17015,07/12/2019,04:00,06:00,NERUS
TM17173,RM17015,09/12/2019,16:00,18:00,NERUS
TM17173,RM17015,10/12/2019,16:00,18:00,NERUS
TM17173,RM17015,11/12/2019,16:00,18:00,NERUS
TM17173,RM17015,12/12/2019,16:00,18:00,NERUS
TM17173,RM17015,13/12/2019,16:00,18:00,NERUS
TM17173,RM17015,14/12/2019,16:00,18:00,NERUS
TM17173,RM17015,16/12/2019,04:00,06:00,NERUS
TM17173,RM17015,17/12/2019,04:00,06:00,NERUS
TM17173,RM17015,18/12/2019,04:00,06:00,NERUS
TM17173,RM17015,19/12/2019,04:00,06:00,NERUS
TM17173,RM17015,20/12/2019,04:00,06:00,NERUS
TM17173,RM17015,21/12/2019,04:00,06:00,NERUS
TM17173,RM17015,23/12/2019,16:00,18:00,NERUS
TM17173,RM17015,24/12/2019,16:00,18:00,NERUS
TM17173,RM17015,25/12/2019,16:00,18:00,NERUS
TM17173,RM17015,26/12/2019,16:00,18:00,NERUS
TM17173,RM17015,27/12/2019,16:00,18:00,NERUS
TM17173,RM17015,28/12/2019,16:00,18:00,NERUS
TM17173,RM17015,30/12/2019,04:00,06:00,NERUS
TM17173,RM17016,01/12/2019,16:00,18:00,NERUS
TM17173,RM17016,02/12/2019,16:00,18:00,NERUS
TM17173,RM17016,03/12/2019,16:00,18:00,NERUS
TM17173,RM17016,04/12/2019,16:00,18:00,NERUS
TM17173,RM17016,06/12/2019,04:00,06:00,NERUS
TM17173,RM17016,07/12/2019,04:00,06:00,NERUS
TM17173,RM17016,08/12/2019,04:00,06:00,NERUS
TM17173,RM17016,09/12/2019,04:00,06:00,NERUS
TM17173,RM17016,10/12/2019,04:00,06:00,NERUS
TM17173,RM17016,11/12/2019,04:00,06:00,NERUS
TM17173,RM17016,13/12/2019,16:00,18:00,NERUS
TM17173,RM17016,14/12/2019,16:00,18:00,NERUS
TM17173,RM17016,15/12/2019,16:00,18:00,NERUS
TM17173,RM17016,16/12/2019,16:00,18:00,NERUS
TM17173,RM17016,17/12/2019,16:00,18:00,NERUS
TM17173,RM17016,18/12/2019,16:00,18:00,NERUS
TM17173,RM17016,20/12/2019,04:00,06:00,NERUS
TM17173,RM17016,21/12/2019,04:00,06:00,NERUS
TM17173,RM17016,22/12/2019,04:00,06:00,NERUS
TM17173,RM17016,23/12/2019,04:00,06:00,NERUS
TM17173,RM17016,24/12/2019,04:00,06:00,NERUS
TM17173,RM17016,25/12/2019,04:00,06:00,NERUS
TM17173,RM17016,27/12/2019,16:00,18:00,NERUS
