NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17125,KT18062,14/05/2021,16:30,18:30,NERUS
TM17125,KT18063,14/05/2021,16:30,18:30,NERUS
TM17125,KT18064,14/05/2021,16:30,17:30,NERUS
TM17125,KT18065,14/05/2021,05:00,5:45,NERUS
TM17125,KT18066,14/05/2021,16:30,18:30,NERUS
TM17125,KT18067,14/05/2021,05:00,5:45,NERUS
TM17125,KT18068,14/05/2021,16:30,18:30,NERUS
TM17125,KT18072,14/05/2021,05:00,5:30,NERUS
TM17125,KT18075,14/05/2021,05:00,5:44,NERUS
TM17125,KT18079,14/05/2021,16:30,18:30,NERUS
TM17125,KT19004,14/05/2021,05:00,5:38,NERUS
TM17125,KT19005,14/05/2021,16:30,18:30,NERUS
