NRP,TANGGAL,SHIFT,IN,OUT,ROSTER_CODE,KODE_ABSEN
KT13121,20/10/2019,2,18:00,6:00,508,M
KC19049,04/10/1019,1,5:51,18:00,508,-
KC19050,12/10/2019,,,,508,E
KC19051,17/10/2019,,,,508,E
KT13128,02/10/2019,,,,901,E
KT13128,08/10/2019,,,,901,E
