NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM19219,KB12050,18/11/2019,15:00,17:00,NERUS
TM19219,KB12050,26/11/2019,15:00,17:00,NERUS
TM19219,KB17098,23/11/2019,15:00,17:00,NERUS
TM19219,KD10012,21/11/2019,15:00,18:00,NERUS
TM19219,KD10012,22/11/2019,15:00,18:00,NERUS
TM19219,KB17119,02/11/2019,15:00,18:00,NERUS
TM19219,KB17119,05/11/2019,15:00,18:00,NERUS
TM19219,KB17119,09/11/2019,15:00,18:00,NERUS
TM19219,KB17119,11/11/2019,15:00,18:00,NERUS
TM19219,KB17119,13/11/2019,15:00,18:00,NERUS
TM19219,KR17016,02/11/2019,15:00,18:00,NERUS
TM19219,KR17016,04/11/2019,15:00,18:00,NERUS
TM19219,KR17016,05/11/2019,15:00,18:00,NERUS
TM19219,KR17016,08/11/2019,15:00,18:00,NERUS
TM19219,KR17016,11/11/2019,15:00,18:00,NERUS
TM19219,KR17016,12/11/2019,15:00,18:00,NERUS
TM19219,KR17016,15/11/2019,15:00,18:00,NERUS
TM19219,KR17016,16/11/2019,15:00,18:00,NERUS
TM19219,KR17016,19/11/2019,15:00,17:00,NERUS
TM19219,KR17016,20/11/2019,15:00,17:00,NERUS
TM19219,KR17016,21/11/2019,15:00,17:00,NERUS
TM19215,NE17015,16/11/2019,18:00,19:42,NERUS
TM19215,NE17015,20/11/2019,18:00,19:14,NERUS
