NRP,TANGGAL,SHIFT,IN,OUT,ROSTER_CODE,KODE_ABSEN
KB11149,28/01/2020,1,J,J,602,-
KB12111,28/01/2020,1,07:00,21:54,302,-
KB12144,28/01/2020,1,05:09,17:30,602,-
KB12147,28/01/2020,1,05:07,17:30,602,-
KB13012,28/01/2020,1,06:15,17:30,302,-
KB15003,28/01/2020,1,07:00,19:11,302,-
kb15006,28/01/2020,1,06:58,20:51,101,-
KB15015,28/01/2020,,I,I,602,-
KB17020,28/01/2020,,I,I,302,-
KB17032,28/01/2020,1,06:11,18:11,602,-
KB17036,28/01/2020,,I,I,101,-
KB17105,28/01/2020,1,06:15,17:30,302,-
KB17144,28/01/2020,,I,I,302,-
KB18001,28/01/2020,1,07:00,19:00,302,-
KB19009,28/01/2020,1,05:51,17:55,602,-
KB19015,28/01/2020,,I,I,602,-
KC13064,28/01/2020,1,05:10,17:30,602,-
KC15010,28/01/2020,1,05:21,17:30,602,-
KC16008,28/01/2020,1,06:40,18:00,101,-
KC17049,28/01/2020,,TANPA KETERANGAN,,101,-
KD10012,28/01/2020,1,06:00,18:14,302,-
KM19009,28/01/2020,1,07:05,19:11,101,-
KR15001,28/01/2020,1,07:00,15:00,101,-
KR15042,28/01/2020,1,06:56,18:00,101,-
KR17016,28/01/2020,1,06:01,18:00,302,-
KR18001,28/01/2020,,D,D,101,-
KR19001,28/01/2020,1,06:52,18:08,101,-
KT17104,28/01/2020,1,05:30,17:30,602,-
KU15002,28/01/2020,1,06:41,17:58,101,-
