NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17125,KR15005,14/05/2021,17:00,17:30,NERUS
TM17125,KR15011,14/05/2021,05:00,5:30,NERUS
TM17125,KR15022,14/05/2021,05:00,05:27,NERUS
TM17125,KR15036,14/05/2021,17:00,17:30,NERUS
TM17125,KR15040,14/05/2021,05:00,05:30,NERUS
TM17125,KR17002,14/05/2021,05:00,5:45,NERUS
TM17125,KR17004,14/05/2021,05:00,5:30,NERUS
TM17125,KR17010,14/05/2021,17:00,17:30,NERUS
TM17125,KR17017,14/05/2021,17:00,17:30,NERUS
TM17125,KR17018,14/05/2021,17:00,17:30,NERUS
