NRP_PENGUPLOAD,NRP_KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
NE17048,KT18080,28/11/2019,3.30,5.30,NERUS
NE17048,KB16032,28/11/2019,3.30,6.30,NERUS
NE17048,KC17004,28/11/2019,15.30,17.30,NERUS
NE17048,KC19005,28/11/2019,3.30,5.30,NERUS
NE17048,KT18023,28/11/2019,3.30,5.30,NERUS
NE17048,KC19008,28/11/2019,3.30,5.30,NERUS
NE17048,KC19009,28/11/2019,3.30,5.30,NERUS
NE17048,KR18003,28/11/2019,3.30,5.30,NERUS
