NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17125,KA12016,28/11/2019,15:30,17:30,NERUS
TM17125,KA13007,28/11/2019,16:00,18:00,NERUS
TM17125,KB11098,28/11/2019,04:00,06:00,NERUS
TM17125,KB18091,28/11/2019,03:30,05:30,NERUS
TM17125,KC19022,28/11/2019,16:00,18:00,NERUS
TM17125,KC19049,28/11/2019,16:00,18:00,NERUS
TM17125,KC19050,28/11/2019,04:00,06:00,NERUS
TM17125,KC19051,28/11/2019,16:00,18:00,NERUS
TM17125,KC19052,28/11/2019,04:00,06:00,NERUS
TM17125,KD19009,28/11/2019,04:00,06:00,NERUS
TM17125,KD19010,28/11/2019,04:00,06:00,NERUS
TM17125,KD19016,28/11/2019,16:00,18:00,NERUS
TM17125,KL17052,28/11/2019,04:00,06:00,NERUS
TM17125,KL17246,28/11/2019,16:00,18:00,NERUS
TM17125,KR15005,28/11/2019,15:30,17:30,NERUS
TM17125,KR15022,28/11/2019,15:30,17:30,NERUS
TM17125,KR17001,28/11/2019,03:30,05:30,NERUS
TM17125,KT13008,28/11/2019,16:00,18:00,NERUS
TM17125,KT13061,28/11/2019,16:00,18:00,NERUS
TM17125,KT13063,28/11/2019,15:30,17:30,NERUS
TM17125,KT13067,28/11/2019,04:00,06:00,NERUS
TM17125,KT13070,28/11/2019,16:00,18:00,NERUS
TM17125,KT13072,28/11/2019,04:00,06:00,NERUS
TM17125,KT13073,28/11/2019,04:00,06:00,NERUS
TM17125,KT13075,28/11/2019,16:00,18:00,NERUS
TM17125,KT13115,28/11/2019,04:00,06:00,NERUS
TM17125,KT13121,28/11/2019,04:00,06:00,NERUS
TM17125,KT13127,28/11/2019,15:30,17:30,NERUS
TM17125,KT13134,28/11/2019,15:30,17:30,NERUS
TM17125,KT13135,28/11/2019,15:30,17:30,NERUS
TM17125,KT13141,28/11/2019,16:00,18:00,NERUS
TM17125,KT13144,28/11/2019,15:30,17:30,NERUS
TM17125,KT16009,28/11/2019,04:00,06:00,NERUS
TM17125,KT16015,28/11/2019,04:00,06:00,NERUS
TM17125,KT16016,28/11/2019,04:00,06:00,NERUS
TM17125,KT16023,28/11/2019,03:30,05:30,NERUS
TM17125,KT17050,28/11/2019,16:00,18:00,NERUS
TM17125,KT17052,28/11/2019,16:00,18:00,NERUS
TM17125,KT17057,28/11/2019,16:00,18:00,NERUS
TM17125,KT17065,28/11/2019,04:00,06:00,NERUS
TM17125,KT17079,28/11/2019,16:00,18:00,NERUS
TM17125,KT17080,28/11/2019,15:30,17:30,NERUS
TM17125,KT17081,28/11/2019,03:30,05:30,NERUS
TM17125,KT17147,28/11/2019,15:30,17:30,NERUS
TM17125,KT18021,28/11/2019,03:30,05:30,NERUS
TM17125,KT18022,28/11/2019,15:30,17:30,NERUS
TM17125,KT18056,28/11/2019,16:00,18:00,NERUS
TM17125,KT18079,28/11/2019,04:00,06:00,NERUS
TM17125,KT19001,28/11/2019,15:30,17:30,NERUS
TM17125,KT19002,28/11/2019,03:30,05:30,NERUS
