NRP_PENGUPLOAD,NRP KARYAWAN LEMBUR,TGL_LEMBUR,AWAL_LEMBUR,AKHIR_LEMBUR,URAIAN_LEMBUR
TM17125,KC19004,14/05/2021,05:00,5:30,NERUS
TM17125,KD19009,14/05/2021,16:30,17:30,NERUS
TM17125,KD19016,14/05/2021,05:00,6:30,NERUS
TM17125,KR15041,14/05/2021,16:30,18:57,NERUS
TM17125,KR17014,14/05/2021,05:00,5:40,NERUS
TM17125,KR18004,14/05/2021,16:30,19:0,NERUS
TM17125,KR18005,14/05/2021,05:00,6:30,NERUS
TM17125,KT13056,14/05/2021,05:00,6:30,NERUS
TM17125,KT13082,14/05/2021,16:30,17:30,NERUS
TM17125,KT13084,14/05/2021,05:00,5:45,NERUS
